Position:,Trainings on there that are NOT required:,Notes: Add these
SPPIVT Brazer - Process Team,SPPIVT T305 Mechanical (Non-Electrical) Soldering (OJT),
,SPPIVT T305B Mechanical (Non-Electrical) Soldering- Torch Soldering (OJT),
,SPPIVT T305C Mechanical (Non-Electrical) Soldering- Tear Band (OJT),
,SPPIVT T506A Torch Brazing- Aluminum Braze Group (OJT),
,"SPPIVT T506B Torch Brazing- Copper/Brass, Steel, Stainless Steel and Nickel Braze Group (OJT)",
SPPIVT Electrical Assembler - Systems,SPPIVT T532D Paint Process:Touch-Up Paint Mixing and Application (OJT),
SPPIVT Leak Tester - Computers,SPPIVT T503A Leak Test- Mass Spectometer (OJT),
,SPPIVT T503C Leak Test- Mass Spectometer (OJT),
,SPPIVT T503D Leak Test- Mass Spectometer (OJT),
SPPIVT MRO - Solder Rework,SPPIVT T202 Electrical Soldering Level II (IL),
,SPPIVT T301 PCB Rework for Through Hole and Wire Removal (IL),
,SPPIVT T302 Surface Mount Solder Rework (IL),
SPPIVT MRO -Manufacturing Technicians,SPPIVT T131 Blueprint Reading (IL OL),
,SPPIVT T132 Inspection and Measurement (IL),
,SPPIVT T211 Basic Mechanical Assembly (IL),
,SPPIVT T515 Torque and Threadlocker Training (IL OL),
SPPIVT Maintenance- Maintenance Mech,SPPIVT T710 Confined Space Entry (PARENT),
,SPPIVT T710F Confined Space Entry for Fuel Tanks (IL),
SPPIVT Maintenance- Utilities Mech,SPPIVT T710 Confined Space Entry (PARENT),added T717 to this
,SPPIVT T710F Confined Space Entry for Fuel Tanks (IL),
SPPIVT Manufacturing Engineers,SPPIVT T401 Electronic Assembly Standards for MEs (IL),
SPPIVT Manufacturing Technician - EBA,,added T717 to this
SPPIVT Material Review Board Members,SPPIVT T632 Boeing Commercial MRB (IL),
SPPIVT Mechanical Assembler - Missiles,SPPIVT T579B Application of Potting- Cavity Filling(OJT),
SPPIVT Mechanical Assembler - Systems,SPPIVT T532D Paint Process:Touch-Up Paint Mixing and Application (OJT),
SPPIVT Plating- Chemical Analysis,SPPIVT T567B Chemical Analysis of Plating Solutions- Intermediate Level (OJT),
,SPPIVT T567C Chemical Analysis of Plating Solutions- Advance Level (OJT),
,SPPIVT T743 Hexavalent Chromium Training - Parent,
SPPIVT Plating- Electroform Nickel,SPPIVT T567B Chemical Analysis of Plating Solutions- Intermediate Level (OJT),
,SPPIVT T567C Chemical Analysis of Plating Solutions- Advance Level (OJT),
,SPPIVT T743 Hexavalent Chromium Training - Parent,
SPPIVT Plating- Etch Out,SPPIVT T567B Chemical Analysis of Plating Solutions- Intermediate Level (OJT),
,SPPIVT T567C Chemical Analysis of Plating Solutions- Advance Level (OJT),
,SPPIVT T743 Hexavalent Chromium Training - Parent,
SPPIVT Plating- Passivation,SPPIVT T567B Chemical Analysis of Plating Solutions- Intermediate Level (OJT),
,SPPIVT T567C Chemical Analysis of Plating Solutions- Advance Level (OJT),
,SPPIVT T743 Hexavalent Chromium Training - Parent,
SPPIVT Plating-Chemical Conversion Coating,SPPIVT T567B Chemical Analysis of Plating Solutions- Intermediate Level (OJT),
,SPPIVT T567C Chemical Analysis of Plating Solutions- Advance Level (OJT),
,SPPIVT T743 Hexavalent Chromium Training - Parent,
SPPIVT Plating-Metal Cleaning for Solder Process,SPPIVT T567B Chemical Analysis of Plating Solutions- Intermediate Level (OJT),
,SPPIVT T567C Chemical Analysis of Plating Solutions- Advance Level (OJT),
,SPPIVT T743 Hexavalent Chromium Training - Parent,
SPPIVT Plating-Varnish/Polyurethane Coating,SPPIVT T567B Chemical Analysis of Plating Solutions- Intermediate Level (OJT),
,SPPIVT T567C Chemical Analysis of Plating Solutions- Advance Level (OJT),
,SPPIVT T743 Hexavalent Chromium Training - Parent,
SPPIVT Preliminary Material Review (PMR) (T142),SPPIVT T142B Preliminary Material Review (PMR)-PMR Proficiency Assessor/Mentor (IL),
SPPIVT QCD Inprocess Inspection - Electrical,SPPIVT T202 Electrical Soldering Level II (IL),
,SPPIVT T672 Acceptability of Electronics Assemblies (IL),
SPPIVT Remote PMR Employees,SPPIVT T583 Counterfeit Parts Awareness/Prevention (OL),
,SPPIVT T613 SIS Approved Supplier List and Scope of Approval Training (OL),
,SPPIVT T684B Lock Wiring/Safety Wiring Inspection (IL OL),
SPPIVT Sikorsky Flight Safety Inspector,SPPIVT T831C Sikorsky (Flight Safety) Facilitated Training (IL),
SPPIVT Solder Braze I - Process Team,SPPIVT T305 Mechanical (Non-Electrical) Soldering (OJT),
,SPPIVT T305A Mechanical (Non-Electrical) Soldering- Conductive Soldering (OJT),
,SPPIVT T305B Mechanical (Non-Electrical) Soldering- Torch Soldering (OJT),
,SPPIVT T305C Mechanical (Non-Electrical) Soldering- Tear Band (OJT),
SPPIVT Solder Dip - Computers,SPPIVT T305 Mechanical (Non-Electrical) Soldering (OJT,
,SPPIVT T503A Leak Test- Mass Spectometer (OJT),
,SPPIVT T503C Leak Test- Mass Spectometer (OJT),
,SPPIVT T503D Leak Test- Mass Spectometer (OJT),
SPPIVT Test Technician (Tester),SPPIVT T132 Inspection and Measurement (IL),
,SPPIVT T211 Basic Mechanical Assembly (IL),
,SPPIVT T519 Crimping (OJT),
SPPIVT Torch Solder - Computers,SPPIVT T305 Mechanical (Non-Electrical) Soldering (OJT),
,SPPIVT T305B Mechanical (Non-Electrical) Soldering- Torch Soldering (OJT),
SPPIVT Wave Solder Inspection - Process Team,SPPIVT T142 Preliminary Material Review (PMR) Training,
SPPIVT Welder,SPPIVT T507 Welding-Stainless Steel and Nickel Alloy (OJT),
,SPPIVT T508 Welding-Aluminum (OJT),
SPPIVT Wire Prep Operator - Process Team,SPPIVT T612F-Set up and Operation of the Schleuniger Omnistrip 9450 wire stripper/cutter (OJT),
