group_code,action,winner_course_id,winner_course_name,affected_course_id,affected_course_name,details
"T532A","DELETE_OBSOLETE","","","999015","SPPIVT T532B1 Paint Application: T532A plus material prep, application & quality criteria EBA OBSOLE","Obsolete course with 0 positions and 0 trainings"
"T121","TRANSFER_POSITION","13553","SPPIVT T121 Material Handling (IL OL)","13772","SPPIVT T121 Material Handling - Parent","Transferred 1 positions (0 conflicts skipped)"
"T121","TRANSFER_TRAINING","13553","SPPIVT T121 Material Handling (IL OL)","13772","SPPIVT T121 Material Handling - Parent","Transferred 0 trainings (293 conflicts deleted - employee already had winner course)"
"T121","MERGE","13553","SPPIVT T121 Material Handling (IL OL)","13772","SPPIVT T121 Material Handling - Parent","Merged into winner. Original: 1 positions, 293 trainings"
"T121","DELETE_COURSE","13553","SPPIVT T121 Material Handling (IL OL)","13772","SPPIVT T121 Material Handling - Parent","Course deleted after merge"
"T133","TRANSFER_TRAINING","14052","SPPIVT T133 Measurement and Acceptability of Cables (IL)","14054","SPPIVT T133 Measurement and Acceptability of Cables (OL)","Transferred 1 trainings (16 conflicts deleted - employee already had winner course)"
"T133","MERGE","14052","SPPIVT T133 Measurement and Acceptability of Cables (IL)","14054","SPPIVT T133 Measurement and Acceptability of Cables (OL)","Merged into winner. Original: 2 positions, 17 trainings"
"T133","DELETE_COURSE","14052","SPPIVT T133 Measurement and Acceptability of Cables (IL)","14054","SPPIVT T133 Measurement and Acceptability of Cables (OL)","Course deleted after merge"
"T134","TRANSFER_TRAINING","999029","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (IL)","13546","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (OL)","Transferred 72 trainings (0 conflicts deleted - employee already had winner course)"
"T134","MERGE","999029","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (IL)","13546","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (OL)","Merged into winner. Original: 2 positions, 72 trainings"
"T134","DELETE_COURSE","999029","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (IL)","13546","SPPIVT T134 FAI Training- Performing/Approving In-House FAIs (OL)","Course deleted after merge"
"T137","TRANSFER_POSITION","13757","SPPIVT T137 Inspection & Measurement of Micrometers (Parent)","13560","SPPIVT T137 Inspection and Measurement of Micrometers (IL OJT)","Transferred 3 positions (4 conflicts skipped)"
